system   W            wsystem.c:504  load_library_at_path             [   0.00057] Failed to load C:\Users\Brad\Desktop\Dropbox\Grand Tale\Game\Tools\MapEditorV2\MapEditor\Debug\d3d9.dll (error: 126)
display  D   display_settings.c:486  _al_score_display_settings       [   0.05947] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.05949] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05950] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05951] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05952] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05953] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05955] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05956] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05957] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05958] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05959] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05960] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05962] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05963] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05964] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05965] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05966] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05967] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05968] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05970] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05971] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05972] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05973] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05975] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05976] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05977] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05978] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05979] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05980] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05982] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05983] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05984] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05985] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05986] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05987] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05989] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05990] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.05991] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05992] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05993] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05994] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05995] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05996] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05998] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05999] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06000] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06001] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06002] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06003] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06004] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06005] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06006] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06007] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06008] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06010] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06011] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06012] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06013] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06014] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06015] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06016] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06017] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06018] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06020] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06021] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06022] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06023] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06024] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06025] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06026] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06028] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06029] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06030] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06031] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06032] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06033] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06034] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06035] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06037] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06038] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06039] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06040] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.06041] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06042] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06043] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06044] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06046] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06047] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06048] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06049] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06050] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06051] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06052] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06054] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06055] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06056] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06057] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06058] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06059] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06060] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06062] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06063] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06064] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06065] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06066] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06067] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06068] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06070] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06071] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06072] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06073] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06076] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06077] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06079] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06080] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06081] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06082] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06083] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06084] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06085] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06087] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06088] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06090] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06092] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06093] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06095] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06097] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.06098] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06100] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06101] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06102] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06103] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06104] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06105] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06106] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06108] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06109] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06110] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06111] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06112] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06113] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06114] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06115] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06116] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06117] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06119] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06120] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06121] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06122] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06123] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06124] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06126] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06127] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06128] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06129] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06130] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06131] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06132] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06133] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06134] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06136] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06137] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06138] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06139] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06140] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06141] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06142] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06143] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06144] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06145] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06147] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06148] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06149] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06150] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06151] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06152] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06153] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06154] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06155] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06156] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06158] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06159] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06160] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06161] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06162] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06163] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06164] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06165] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06166] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06167] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.06169] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06170] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06171] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06172] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06174] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06176] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06178] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06179] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06180] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06181] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06182] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06183] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06184] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06186] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06187] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06188] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06189] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06190] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06191] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06193] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06194] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06195] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06196] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06197] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06198] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06199] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06201] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06202] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06203] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06204] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06205] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06206] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06208] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06209] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06210] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06211] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06212] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06213] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06215] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06216] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06217] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06218] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06219] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06220] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06221] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06223] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06224] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06226] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06227] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06228] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06229] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06230] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06232] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06233] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06234] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06235] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06236] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06237] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06239] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06240] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06241] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06242] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06243] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.06244] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06245] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06246] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06248] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06249] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06250] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06251] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06252] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06255] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06256] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06257] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06258] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06259] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06261] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06262] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06263] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06264] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06265] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06266] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06267] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06268] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06269] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06271] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06272] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06273] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06274] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06275] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06276] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06277] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06279] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06280] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06281] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06282] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06283] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06284] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06285] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06286] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06287] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06289] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06290] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06291] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06292] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06293] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06294] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06295] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06296] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06297] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06299] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06300] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06301] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06302] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06303] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06304] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06305] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06306] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06308] Score is : 641
